"nom","no","premiere_selection","derniere_selection","matchs","points","url"
"Fabrice Metz",1073,"le 20 juin 2016 contre l'Argentine","le 19 juin 2016 contre l'Argentine",1,0,"https://fr.wikipedia.org//wiki/Fabrice_Metz"
"Lucas Pointud",1074,"le 20 juin 2016 contre l'Argentine","le 25 juin 2016 contre l'Argentine",2,0,"https://fr.wikipedia.org//wiki/Lucas_Pointud"
"Kélian Galletier",1075,"le 25 juin 2016 contre l'Argentine","le 24 novembre 2018 contre les Fidji",6,0,"https://fr.wikipedia.org//wiki/K%C3%A9lian_Galletier"
"Cyril Baille",1076,"le 12 novembre 2016 contre les Samoa","le 12 août 2023 contre l'Ecosse",44,15,"https://fr.wikipedia.org//wiki/Cyril_Baille"
"Arthur Iturria",1077,"le 4 février 2017 contre l'Angleterre","le 2 octobre 2019 contre les États-Unis",15,5,"https://fr.wikipedia.org//wiki/Arthur_Iturria"
"Henry Chavancy",1078,"le 25 février 2017 contre l'Irlande","le 3 février 2018 contre l'Irlande",5,10,"https://fr.wikipedia.org//wiki/Henry_Chavancy"
"Fabien Sanconnie",1079,"le 11 mars 2017 contre l'Italie","le 9 juin 2018 contre la Nouvelle-Zélande",5,0,"https://fr.wikipedia.org//wiki/Fabien_Sanconnie"
"Antoine Dupont",1080,"le 11 mars 2017 contre l'Italie","le 27 août 2023 contre l'Australie",49,60,"https://fr.wikipedia.org//wiki/Antoine_Dupont"
"Mohamed Boughanmi",1081,"le 10 juin 2017 contre l'Afrique du Sud","le 10 juin 2017 contre l'Afrique du Sud",1,0,"https://fr.wikipedia.org//wiki/Mohamed_Boughanmi"
"Vincent Rattez",1082,"le 10 juin 2017 contre l'Afrique du Sud","le 22 novembre 2020 contre l'Ecosse",9,5,"https://fr.wikipedia.org//wiki/Vincent_Rattez"
"Damian Penaud",1083,"le 17 juin 2017 contre l'Afrique du Sud","le 27 août 2023 contre l'Australie",44,145,"https://fr.wikipedia.org//wiki/Damian_Penaud"
"Nans Ducuing",1084,"le 17 juin 2017 contre l'Afrique du Sud","le 18 novembre 2017 contre l'Afrique du Sud",4,0,"https://fr.wikipedia.org//wiki/Nans_Ducuing"
"Geoffrey Doumayrou",1085,"le 11 novembre 2017 contre la Nouvelle-Zélande","le 16 mars 2019 contre l'Italie",13,0,"https://fr.wikipedia.org//wiki/Geoffrey_Doumayrou"
"Anthony Belleau",1086,"le 11 novembre 2017 contre la Nouvelle-Zélande","le 10 mars 2019 contre l'Irlande",12,24,"https://fr.wikipedia.org//wiki/Anthony_Belleau"
"Paul Gabrillagues",1087,"le 11 novembre 2017 contre la Nouvelle-Zélande","le 20 octobre 2019 contre le pays de Galles",16,5,"https://fr.wikipedia.org//wiki/Paul_Gabrillagues"
